text1,text2,prefix,sub10,lcs,inverted,heap,label
a person on a horse jumps over a broken down airplane ,a person is at a diner  ordering an omelette ,9,0,9,4,8,0
a person on a horse jumps over a broken down airplane ,a person is outdoors  on a horse ,9,0,12,6,13,1
children smiling and waving at camera,there are children present,0,0,9,1,8,1
children smiling and waving at camera,the kids are frowning,0,0,3,0,0,0
a boy is jumping on skateboard in the middle of a red bridge ,the boy skates down the sidewalk ,0,0,6,2,6,0
a boy is jumping on skateboard in the middle of a red bridge ,the boy does a skateboarding trick ,0,0,11,4,7,1
an older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background ,a boy flips a burger ,1,0,3,2,2,0
two blond women are hugging one another ,the women are sleeping ,1,0,11,2,8,0
two blond women are hugging one another ,there are women showing affection ,1,0,7,2,8,1
a few people in a restaurant setting  one of them is drinking orange juice ,the people are sitting at desks in school ,0,0,8,2,8,0
a few people in a restaurant setting  one of them is drinking orange juice ,the diners are at a restaurant ,0,0,14,3,12,1
an older man is drinking orange juice at a restaurant ,a man is drinking juice ,1,0,17,5,16,1
an older man is drinking orange juice at a restaurant ,two women are at a restaurant drinking wine ,0,0,18,4,20,0
a man with blond hair  and a brown shirt drinking out of a public water fountain ,a blond man wearing a brown shirt is reading a book on a bench in the park,2,0,15,7,15,0
a man with blond hair  and a brown shirt drinking out of a public water fountain ,a blond man drinking water from a fountain ,2,0,10,8,21,1
two women who just had lunch hugging and saying goodbye ,the friends scowl at each other over a full dinner table ,1,0,3,0,0,0
two women who just had lunch hugging and saying goodbye ,there are two woman in this picture ,1,0,7,1,3,1
two women  holding food carryout containers  hug ,two groups of rival gang members flipped each other off ,4,0,4,1,3,0
two women  holding food carryout containers  hug ,two women hug each other ,10,1,10,3,11,1
a little league team tries to catch a runner sliding into a base in an afternoon game ,a team is trying to tag a runner out ,2,0,10,6,12,1
a little league team tries to catch a runner sliding into a base in an afternoon game ,a team is playing baseball on saturn ,2,0,6,4,6,0
the school is having a special event in order to show the american culture on how other cultures are dealt with in parties ,a school hosts a basketball game ,0,0,8,2,7,0
the school is having a special event in order to show the american culture on how other cultures are dealt with in parties ,a school is hosting an event ,0,0,12,4,13,1
high fashion ladies wait outside a tram beside a crowd of people in the city ,the women do not care what clothes they wear ,0,0,4,1,3,0
high fashion ladies wait outside a tram beside a crowd of people in the city ,women are waiting by a tram ,0,0,8,3,6,1
a man  woman  and child enjoying themselves on a beach ,a family of three is at the beach ,2,0,7,3,7,1
a man  woman  and child enjoying themselves on a beach ,a family of three is at the mall shopping ,2,0,4,2,2,0
people waiting to get on a train or just getting off ,there are people just getting on a train,0,0,15,6,18,1
people waiting to get on a train or just getting off ,there are people waiting on a train ,0,0,15,5,18,1
a couple playing with a little boy on the beach ,a couple are playing with a young child outside ,9,0,17,5,17,1
a couple playing with a little boy on the beach ,a couple watch a little girl play by herself on the beach ,9,0,14,7,17,0
a couple play in the tide with their young son ,the family is sitting down for dinner ,0,0,4,1,3,0
a couple play in the tide with their young son ,the family is outside ,0,0,4,1,3,1
a man and a woman cross the street in front of a pizza and gyro restaurant ,the people are standing still on the curb ,0,0,5,1,3,0
a man and a woman cross the street in front of a pizza and gyro restaurant ,near a couple of restaurants  two people walk across the street ,0,0,17,6,11,1
a woman in a green jacket and hood over her head looking towards a valley ,the woman is nake ,0,0,8,1,5,0
a woman in a green jacket and hood over her head looking towards a valley ,the woman is wearing green ,0,0,8,2,10,1
woman in white in foreground and a man slightly behind walking with a sign for john s pizza and gyro in the background ,they are protesting outside the capital ,0,0,5,1,3,0
woman in white in foreground and a man slightly behind walking with a sign for john s pizza and gyro in the background ,a woman in white ,0,0,15,7,12,1
